sira,kelime,artikel,cogul,genitiv_tekil,frekans,coklu_anlam_uyari
1976,Bunker,der,Bunker,Bunkers,1307,
1977,Fahrstuhl,der,Fahrstühle,Fahrstuhls,1305,
1978,Italiener,der,Italiener,Italieners,1304,
1979,Flagge,die,Flaggen,Flagge,1304,
1980,Disziplin,die,Disziplinen,Disziplin,1304,
1981,Kongress,der,Kongresse,Kongresses,1303,
1982,Kurzer,der,-,-,1303,
1983,Schirm,der,Schirme,Schirms,1303,
1984,Harvard,das,-,Harvards,1303,
1985,Merlin,der,-,-,1302,
1986,Charme,der,-,Charmes,1302,
1987,Mode,die,Moden,Mode,1293,
1988,Lügnerin,die,Lügnerinnen,Lügnerin,1293,
1989,Speck,der,Specke,Specks,1292,
1990,Hahn,der,-,Hahnes,1292,
1991,Versammlung,die,Versammlungen,Versammlung,1292,
1992,Folter,die,Foltern,Folter,1292,
1993,Saal,der,Säle,Saals,1289,
1994,Wirtschaft,die,Wirtschaften,Wirtschaft,1289,
1995,Herde,die,Herden,Herde,1286,
1996,Zwerg,der,Zwerge,Zwergs,1286,
1997,Seife,die,Seifen,Seife,1286,
1998,Ablenkung,die,Ablenkungen,Ablenkung,1284,
1999,Herrscher,der,Herrscher,Herrschers,1284,
2000,Erdbeben,das,Erdbeben,Erdbebens,1283,
2001,Sprengstoff,der,Sprengstoffe,Sprengstoffes,1283,
2002,Po,der,Pos,Pos,1281,
2003,Schalter,der,Schalter,Schalters,1280,
2004,Gleichgewicht,das,Gleichgewichte,Gleichgewichts,1280,
2005,Hauptstadt,die,Hauptstädte,Hauptstadt,1279,
2006,Zuneigung,die,Zuneigungen,Zuneigung,1279,
2007,Koks,der,Kokse,Kokses,1279,
2008,Rollstuhl,der,Rollstühle,Rollstuhles,1279,
2009,Dosis,die,Dosen,Dosis,1277,
2010,Hacken,das,-,Hackens,1276,"EVET - iki farkli cinsiyeti var, kontrol et"
2011,Kammer,die,Kammern,Kammer,1276,
2012,Finsternis,die,Finsternisse,Finsternis,1273,
2013,Menschliches,das,-,-,1271,
2014,Transporter,der,Transporter,Transporters,1270,
2015,Wilder,der,-,-,1269,
2016,Abzug,der,Abzüge,Abzugs,1269,
2017,Moderne,die,-,Moderne,1269,
2018,Becher,der,Becher,Bechers,1268,
2019,Anweisung,die,Anweisungen,Anweisung,1266,
2020,Privatleben,das,Privatleben,Privatlebens,1266,
2021,Geste,die,Gesten,Geste,1266,
2022,Zusammenarbeit,die,-,Zusammenarbeit,1265,
2023,Sicherheitsdienst,der,Sicherheitsdienste,Sicherheitsdiensts,1264,
2024,Weltkrieg,der,Weltkriege,Weltkrieges,1263,
2025,Khan,der,Khane,Khans,1259,
2026,Landung,die,Landungen,Landung,1258,
2027,Standort,der,Standorte,Standorts,1258,
2028,Begleitung,die,Begleitungen,Begleitung,1256,
2029,Allianz,die,Allianzen,Allianz,1256,
2030,Echo,das,Echos,Echos,1255,
2031,Sklave,der,Sklaven,Sklaven,1254,
2032,Lokal,das,Lokale,Lokales,1254,
2033,Honig,der,Honige,Honigs,1254,
2034,Göttin,die,Göttinnen,Göttin,1253,
2035,Februar,der,Februare,Februar,1250,
2036,Doris,die,-,Doris,1250,
2037,Steige,die,Steigen,Steige,1249,
2038,Burke,die,Burken,Burke,1249,
2039,Feuerwehr,die,Feuerwehren,Feuerwehr,1249,
2040,Begegnung,die,Begegnungen,Begegnung,1249,
2041,Grauen,das,-,Grauens,1247,
2042,Wärter,der,Wärter,Wärters,1247,
2043,Gewann,das,Gewanne,Gewanns,1247,
2044,Vertreter,der,Vertreter,Vertreters,1247,
2045,Schoß,der,Schöße,Schoßes,1245,"EVET - iki farkli cinsiyeti var, kontrol et"
2046,Marge,die,Margen,Marge,1245,
2047,Knoten,der,Knoten,Knotens,1243,
2048,Hinrichtung,die,Hinrichtungen,Hinrichtung,1242,
2049,Madison,der,Madisons,Madisons,1240,
2050,Helikopter,der,Helikopter,Helikopters,1239,
2051,Hausmeister,der,Hausmeister,Hausmeisters,1239,
2052,Check,der,Checks,Checks,1238,
2053,Non,die,Nonen,Non,1237,
2054,Duft,der,Düfte,Dufts,1237,
2055,Bogen,der,-,Bogens,1237,
2056,Schein,der,Scheine,Scheins,1237,
2057,Ächzen,das,-,Ächzens,1236,
2058,Kellnerin,die,Kellnerinnen,Kellnerin,1236,
2059,Platt,das,-,Platts,1235,
2060,Mangel,der,Mängel,Mangels,1234,"EVET - iki farkli cinsiyeti var, kontrol et"
2061,Hobby,das,Hobbys,Hobbys,1232,
2062,Nachtisch,der,Nachtische,Nachtisches,1231,
2063,Kollegin,die,Kolleginnen,Kollegin,1231,
2064,Alptraum,der,Alpträume,Alptraums,1230,
2065,Eisen,das,Eisen,Eisens,1229,
2066,Reichtum,der,Reichtümer,Reichtums,1229,
2067,Haftbefehl,der,Haftbefehle,Haftbefehles,1228,
2068,Verletzte,die,-,-,1228,
2069,Weste,die,Westen,Weste,1227,
2070,Ernte,die,Ernten,Ernte,1227,
2071,Kennzeichen,das,Kennzeichen,Kennzeichens,1226,
2072,Schwager,der,Schwäger,Schwagers,1224,
2073,Dose,die,Dosen,Dose,1223,
2074,Föderation,die,Föderationen,Föderation,1223,
2075,Magazin,das,Magazine,Magazins,1222,
2076,Klemme,die,Klemmen,Klemme,1222,
2077,Wärme,die,-,Wärme,1222,
2078,Nachbarin,die,Nachbarinnen,Nachbarin,1220,
2079,Formel,die,Formeln,Formel,1219,
2080,Spinne,die,Spinnen,Spinne,1219,
2081,Wohnwagen,der,-,Wohnwagens,1219,
2082,Nagel,der,Nägel,Nagels,1218,
2083,Tumor,der,-,Tumors,1218,
2084,Bezahlung,die,Bezahlungen,Bezahlung,1218,
2085,Päckchen,das,Päckchen,Päckchens,1218,
2086,Gitter,das,Gitter,Gitters,1215,
2087,Gin,der,Gins,Gins,1214,
2088,Gestalt,die,Gestalten,Gestalt,1214,
2089,Illusion,die,Illusionen,Illusion,1213,
2090,Haft,die,-,Haft,1212,"EVET - iki farkli cinsiyeti var, kontrol et"
2091,Welle,die,Wellen,Welle,1212,
2092,Spannung,die,Spannungen,Spannung,1211,
2093,Tresor,der,Tresore,Tresors,1210,
2094,Amber,der,-,Ambers,1210,
2095,Bestimmung,die,Bestimmungen,Bestimmung,1210,
2096,Fischer,der,Fischer,Fischers,1209,
2097,Lehre,die,Lehren,Lehre,1208,
2098,Revolver,der,Revolver,Revolvers,1208,
2099,Schrott,der,Schrotte,Schrottes,1208,
2100,Vorhang,der,Vorhänge,Vorhanges,1207,
2101,Raub,der,Raube,Raubs,1204,
2102,Lagerhaus,das,Lagerhäuser,Lagerhauses,1204,
2103,Produktion,die,Produktionen,Produktion,1201,
2104,Futter,das,-,Futters,1197,
2105,Muschi,die,Muschis,Muschi,1197,
2106,Kinderspiel,das,Kinderspiele,Kinderspieles,1195,
2107,Dummheit,die,Dummheiten,Dummheit,1194,
2108,Karre,die,Karren,Karre,1193,
2109,Bedarf,der,Bedarfe,Bedarfs,1192,
2110,Dankbarkeit,die,Dankbarkeiten,Dankbarkeit,1191,
2111,Inhalt,der,Inhalte,Inhalts,1191,
2112,Messe,die,Messen,Messe,1190,
2113,Anwesen,das,Anwesen,Anwesens,1190,
2114,Make-up,das,Make-ups,Make-ups,1190,
2115,Deutscher,der,-,-,1189,
2116,Anerkennung,die,Anerkennungen,Anerkennung,1188,
2117,Galaxie,die,Galaxien,Galaxie,1187,
2118,Vermutung,die,Vermutungen,Vermutung,1187,
2119,Überwachung,die,Überwachungen,Überwachung,1186,
2120,Finale,das,-,Finales,1185,
2121,Statue,die,Statuen,Statue,1185,
2122,Bestätigung,die,Bestätigungen,Bestätigung,1185,
2123,Verzweiflung,die,Verzweiflungen,Verzweiflung,1184,
2124,Rahmen,der,Rahmen,Rahmens,1183,
2125,Klub,der,Klubs,Klubs,1181,
2126,Marianne,die,-,Marianne,1180,
2127,Niederlage,die,Niederlagen,Niederlage,1179,
2128,Bemühen,das,-,Bemühens,1178,
2129,Logik,die,Logiken,Logik,1178,
2130,Todesursache,die,Todesursachen,Todesursache,1177,
2131,Anfall,der,Anfälle,Anfalls,1174,
2132,Andenken,das,Andenken,Andenkens,1171,
2133,Gate,das,Gates,Gates,1171,"EVET - iki farkli cinsiyeti var, kontrol et"
2134,Ingenieur,der,Ingenieure,Ingenieurs,1171,
2135,Flamme,die,Flammen,Flamme,1170,
2136,Zustimmung,die,Zustimmungen,Zustimmung,1170,
2137,Dokument,das,Dokumente,Dokumentes,1169,
2138,Paps,der,Papse,Paps,1166,
2139,Pfannkuchen,der,Pfannkuchen,Pfannkuchens,1164,
2140,Aufenthalt,der,Aufenthalte,Aufenthalts,1163,
2141,Blutung,die,Blutungen,Blutung,1163,
2142,Highway,der,Highways,Highways,1163,
2143,Devon,das,-,Devons,1163,
2144,Hase,der,Hasen,Hasen,1163,"EVET - iki farkli cinsiyeti var, kontrol et"
2145,Staatsanwaltschaft,die,Staatsanwaltschaften,Staatsanwaltschaft,1162,
2146,More,die,Moren,More,1162,
2147,Ehrlichkeit,die,-,Ehrlichkeit,1161,
2148,Aufspüren,das,-,Aufspürens,1160,
2149,Keks,der,Kekse,Keks,1160,
2150,Neugier,die,-,Neugier,1158,
2151,Entdeckung,die,Entdeckungen,Entdeckung,1155,
2152,Herkunft,die,Herkünfte,Herkunft,1152,
2153,Gestank,der,-,Gestanks,1152,
2154,Annahme,die,Annahmen,Annahme,1152,
2155,Hintertür,die,Hintertüren,Hintertür,1151,
2156,Truthahn,der,Truthähne,Truthahnes,1150,
2157,Jeans,die,Jeans,Jeans,1149,
2158,Befragung,die,Befragungen,Befragung,1149,
2159,Ausschau,die,-,Ausschau,1148,
2160,Studie,die,Studien,Studie,1147,
2161,Busch,der,Büsche,Buschs,1146,
2162,Abwesenheit,die,Abwesenheiten,Abwesenheit,1146,
2163,Heiligkeit,die,Heiligkeiten,Heiligkeit,1145,
2164,Bestellung,die,Bestellungen,Bestellung,1145,
2165,Back,die,Backen,Back,1144,"EVET - iki farkli cinsiyeti var, kontrol et"
2166,Demokratie,die,Demokratien,Demokratie,1143,
2167,Sehnsucht,die,Sehnsüchte,Sehnsucht,1143,
2168,Ranger,der,Ranger,Rangers,1143,
2169,Satan,der,Satane,Satans,1138,
2170,Sirene,die,Sirenen,Sirene,1137,
2171,Police,die,Policen,Police,1137,
2172,Horn,das,Hörner,Horns,1137,
2173,Ritual,das,-,Rituals,1136,
2174,Pflanze,die,Pflanzen,Pflanze,1135,
2175,Formen,das,-,Formens,1134,
2176,Streifen,der,Streifen,Streifens,1133,
2177,Garderobe,die,Garderoben,Garderobe,1133,
2178,Kasten,der,-,Kastens,1132,
2179,Zeichnen,das,-,Zeichnens,1132,
2180,Wirt,der,Wirte,Wirts,1132,
2181,Backen,der,Backen,Backens,1132,"EVET - iki farkli cinsiyeti var, kontrol et"
2182,Medikament,das,Medikamente,Medikaments,1131,
2183,Salon,der,Salons,Salons,1131,
2184,Scheitern,das,-,Scheiterns,1131,
2185,Lebensmittel,das,Lebensmittel,Lebensmittels,1130,
2186,Adieu,das,Adieus,Adieus,1129,
2187,Sherry,der,Sherrys,Sherrys,1128,
2188,Vortrag,der,Vorträge,Vortrags,1128,
2189,U-Boot,das,U-Boote,U-Bootes,1128,
2190,Flittchen,das,Flittchen,Flittchens,1128,
2191,As,der,Asse,Asses,1127,"EVET - iki farkli cinsiyeti var, kontrol et"
2192,Durchbruch,der,Durchbrüche,Durchbruchs,1126,
2193,Model,das,Models,Models,1125,"EVET - iki farkli cinsiyeti var, kontrol et"
2194,Chor,der,-,Chores,1123,"EVET - iki farkli cinsiyeti var, kontrol et"
2195,Kampagne,die,Kampagnen,Kampagne,1123,
2196,Schere,die,Scheren,Schere,1123,
2197,Knöchel,der,Knöchel,Knöchels,1120,
2198,Zeitplan,der,Zeitpläne,Zeitplanes,1120,
2199,Weichei,das,Weicheier,Weicheis,1120,
2200,Berufung,die,Berufungen,Berufung,1120,
2201,Beitrag,der,Beiträge,Beitrags,1119,
2202,Versuchung,die,Versuchungen,Versuchung,1119,
2203,Argument,das,Argumente,Argumentes,1119,
2204,Picknick,das,-,Picknicks,1119,
2205,Meile,die,Meilen,Meile,1118,
2206,Hamburger,der,Hamburger,Hamburgers,1118,
2207,Türklingel,die,Türklingeln,Türklingel,1117,
2208,Fähnrich,der,Fähnriche,Fähnrichs,1117,
2209,Dynamit,das,-,Dynamits,1116,
2210,Sonnenschein,der,-,Sonnenscheins,1116,
2211,Fell,das,Felle,Felles,1116,
2212,Lache,die,Lachen,Lache,1115,
2213,Bräutigam,der,Bräutigame,Bräutigams,1115,
2214,Drohung,die,Drohungen,Drohung,1114,
2215,Wende,die,Wenden,Wende,1113,"EVET - iki farkli cinsiyeti var, kontrol et"
2216,Erwachsener,der,-,-,1113,
2217,Geschwister,das,Geschwister,Geschwisters,1112,
2218,Bischof,der,Bischöfe,Bischofs,1112,
2219,Axt,die,Äxte,Axt,1111,
2220,Händler,der,Händler,Händlers,1111,
2221,Dampf,der,Dämpfe,Dampfs,1110,
2222,Wurm,der,Würmer,Wurmes,1109,"EVET - iki farkli cinsiyeti var, kontrol et"
2223,Kerze,die,Kerzen,Kerze,1108,
2224,Besatzung,die,Besatzungen,Besatzung,1107,
2225,Rang,der,Ränge,Rangs,1105,
2226,Visier,das,Visiere,Visiers,1105,
2227,Standpunkt,der,Standpunkte,Standpunktes,1105,
2228,Schaute,der,Schauten,Schauten,1104,
2229,Beutel,der,Beutel,Beutels,1103,
2230,Chan,der,-,Chans,1103,"EVET - iki farkli cinsiyeti var, kontrol et"
2231,Drängen,das,-,Drängens,1102,
2232,Veranda,die,Veranden,Veranda,1102,
2233,Klient,der,Klienten,Klienten,1102,
2234,Strahlung,die,Strahlungen,Strahlung,1102,
2235,Schiss,der,Schisse,Schisses,1101,
2236,Schwangerschaft,die,Schwangerschaften,Schwangerschaft,1101,
2237,Nonne,die,Nonnen,Nonne,1100,
2238,Feuerwerk,das,Feuerwerke,Feuerwerks,1099,
2239,Abwechslung,die,Abwechslungen,Abwechslung,1098,
2240,Kleingeld,das,-,Kleingelds,1098,
2241,Braten,der,Braten,Bratens,1098,"EVET - iki farkli cinsiyeti var, kontrol et"
2242,Herzschlag,der,Herzschläge,Herzschlags,1097,
2243,Corporal,der,Corporäle,Corporals,1097,
2244,Profit,der,Profite,Profits,1096,
2245,Cäsar,der,Cäsaren,Cäsaren,1096,
2246,Heilung,die,Heilungen,Heilung,1096,
2247,Pressekonferenz,die,Pressekonferenzen,Pressekonferenz,1094,
2248,Stadtrat,der,Stadträte,Stadtrats,1094,
2249,End,das,Ends,Ends,1093,
2250,Regie,die,Regien,Regie,1093,
2251,Schweizer,der,Schweizer,Schweizers,1091,
2252,Verdächtiger,der,-,-,1091,
2253,Tussi,die,Tussis,Tussi,1091,
2254,Gasse,die,Gassen,Gasse,1091,
2255,Gefecht,das,Gefechte,Gefechtes,1090,
2256,Pension,die,Pensionen,Pension,1089,
2257,Stab,der,Stäbe,Stabes,1088,
2258,Strich,der,Striche,Strichs,1088,
2259,Lippenstift,der,Lippenstifte,Lippenstiftes,1088,
2260,Boxer,der,Boxer,Boxers,1087,
2261,Ausstellung,die,Ausstellungen,Ausstellung,1087,
2262,Maler,der,Maler,Malers,1087,
2263,Polizistin,die,Polizistinnen,Polizistin,1086,
2264,Dolch,der,Dolche,Dolchs,1084,
2265,Freizeit,die,Freizeiten,Freizeit,1084,
2266,Elegant,der,Elegants,Elegants,1084,
2267,Auszeit,die,Auszeiten,Auszeit,1083,
2268,Eindringen,das,-,Eindringens,1083,
2269,Look,der,Looks,Looks,1082,
2270,Konzept,das,Konzepte,Konzepts,1082,
2271,Blase,die,Blasen,Blase,1081,
2272,Schrift,die,Schriften,Schrift,1081,
2273,Treffpunkt,der,Treffpunkte,Treffpunktes,1081,
2274,Faden,der,-,Fadens,1081,
2275,Konzentration,die,Konzentrationen,Konzentration,1080,
2276,Royal,der,Royals,Royals,1080,
2277,Mathe,die,-,Mathe,1080,
2278,Draht,der,Drähte,Drahts,1079,
2279,Reinigung,die,Reinigungen,Reinigung,1078,
2280,Tower,der,Tower,Tower,1078,
2281,Farmer,der,Farmer,Farmers,1077,
2282,Batterie,die,Batterien,Batterie,1076,
2283,Obst,das,-,Obsts,1076,
2284,Badewanne,die,Badewannen,Badewanne,1076,
2285,Übertragung,die,Übertragungen,Übertragung,1075,
2286,Droge,die,Drogen,Droge,1075,
2287,Enge,die,Engen,Enge,1074,
2288,Nickerchen,das,Nickerchen,Nickerchens,1074,
2289,Reue,die,-,Reue,1071,
2290,Gen,das,Gene,Gens,1071,
2291,Anfänger,der,Anfänger,Anfängers,1071,
2292,Rhythmus,der,Rhythmen,Rhythmus,1071,
2293,Stechen,das,Stechen,Stechens,1070,
2294,Siegel,das,Siegel,Siegels,1070,
2295,Prostituierte,die,-,-,1069,
2296,Brandy,der,Brandys,Brandys,1067,
2297,Schüssel,die,Schüsseln,Schüssel,1065,
2298,Ideal,das,Ideale,Ideals,1063,
2299,Sire,der,Sires,Sires,1063,
2300,Verlobung,die,Verlobungen,Verlobung,1063,
2301,Mitbewohner,der,Mitbewohner,Mitbewohners,1063,
2302,Funken,der,Funken,Funkens,1062,"EVET - iki farkli cinsiyeti var, kontrol et"
2303,Prügel,der,Prügel,Prügels,1061,
2304,Balkon,der,-,Balkons,1061,
2305,Ertrinken,das,-,Ertrinkens,1058,
2306,Liga,die,Ligen,Liga,1056,
2307,Netzwerk,das,Netzwerke,Netzwerks,1053,
2308,Akademie,die,Akademien,Akademie,1052,
2309,Branche,die,Branchen,Branche,1052,
2310,Soße,die,Soßen,Soße,1051,
2311,Entführer,der,Entführer,Entführers,1051,
2312,Basketball,der,Basketbälle,Basketballes,1050,
2313,Vorsitzender,der,-,-,1049,
2314,Suite,die,Suiten,Suite,1049,
2315,Fritz,der,Fritze,Fritz,1048,
2316,Barkeeper,der,Barkeeper,Barkeepers,1048,
2317,Umgang,der,Umgänge,Umgangs,1047,
2318,Wolke,die,Wolken,Wolke,1047,
2319,Wall,der,Wälle,Walles,1047,
2320,Erziehung,die,-,Erziehung,1046,
2321,Schenk,der,Schenken,Schenken,1046,
2322,Agentin,die,Agentinnen,Agentin,1045,
2323,Institut,das,Institute,Institutes,1044,
2324,Bass,der,Bässe,Basses,1043,
2325,Überlebende,die,-,-,1043,
2326,Untergang,der,Untergänge,Untergangs,1042,
2327,Flach,das,Flache,Flaches,1042,
2328,Autogramm,das,Autogramme,Autogramms,1041,
2329,Sackgasse,die,Sackgassen,Sackgasse,1041,
2330,Casino,das,Casinos,Casinos,1041,
2331,Kompanie,die,Kompanien,Kompanie,1041,
2332,Flüssigkeit,die,Flüssigkeiten,Flüssigkeit,1040,
2333,Einbrecher,der,Einbrecher,Einbrechers,1040,
2334,Vorsprung,der,Vorsprünge,Vorsprungs,1039,
2335,Verkäufer,der,Verkäufer,Verkäufers,1038,
2336,Kurve,die,Kurven,Kurve,1037,
2337,Invasion,die,Invasionen,Invasion,1036,
2338,Klarer,der,-,-,1036,
2339,Outfit,das,Outfits,Outfits,1036,
2340,Drecksack,der,Drecksäcke,Drecksacks,1035,
2341,Höhepunkt,der,Höhepunkte,Höhepunktes,1035,
2342,Pest,die,Pesten,Pest,1034,
2343,Wunderbares,das,-,-,1034,
2344,Erzeugen,das,-,Erzeugens,1034,
2345,Vagina,die,-,Vagina,1032,
2346,Zoll,der,Zölle,Zolls,1032,
2347,Region,die,Regionen,Region,1032,
2348,Jammer,der,-,Jammers,1031,
2349,Gipfel,der,Gipfel,Gipfels,1031,
2350,Wachmann,der,-,Wachmannes,1031,
2351,Tinte,die,Tinten,Tinte,1030,
2352,Journalist,der,Journalisten,Journalisten,1030,
2353,Galerie,die,Galerien,Galerie,1030,
2354,Glückspilz,der,Glückspilze,Glückspilzes,1030,
2355,Mönch,der,Mönche,Mönchs,1030,
2356,Enkelin,die,Enkelinnen,Enkelin,1030,
2357,Ego,das,Egos,Ego,1029,
2358,Aspirin,das,-,Aspirins,1028,
2359,Prophezeiung,die,Prophezeiungen,Prophezeiung,1027,
2360,Lizenz,die,Lizenzen,Lizenz,1026,
2361,Student,der,Studenten,Studenten,1024,
2362,Schwindel,der,-,Schwindels,1024,
2363,Borg,der,Borge,Borgs,1023,
2364,Ausländer,der,Ausländer,Ausländers,1022,
2365,Kalender,der,Kalender,Kalenders,1021,
2366,Hannibal,der,-,-,1020,
2367,Friseur,der,Friseure,Friseurs,1018,
2368,Ermordung,die,Ermordungen,Ermordung,1017,
2369,Zauberei,die,Zaubereien,Zauberei,1016,
2370,Biss,der,Bisse,Bisses,1015,
2371,Quentin,das,Quentin,Quentins,1014,
2372,Hotelzimmer,das,Hotelzimmer,Hotelzimmers,1014,
2373,Delta,das,-,Delta,1014,
2374,Frequenz,die,Frequenzen,Frequenz,1014,
2375,Summer,der,Summer,Summers,1013,
2376,Website,die,Websites,Website,1013,
2377,Verband,der,Verbände,Verbandes,1013,
2378,Diät,die,Diäten,Diät,1013,
2379,Benimm,der,-,Benimms,1012,
2380,Philosophie,die,Philosophien,Philosophie,1009,
2381,Geier,der,Geier,Geiers,1009,
2382,Kneipe,die,Kneipen,Kneipe,1008,
2383,Sumpf,der,Sümpfe,Sumpfes,1007,
2384,Apotheke,die,Apotheken,Apotheke,1006,
2385,Internationale,die,-,Internationale,1006,
2386,Gegenzug,der,Gegenzüge,Gegenzuges,1004,
2387,Schal,der,-,Schals,1004,
2388,Enttäuschung,die,Enttäuschungen,Enttäuschung,1003,
2389,Grau,das,Graus,Graus,1003,
2390,Hunt,der,Hunte,Hunts,1003,
2391,Unterkunft,die,Unterkünfte,Unterkunft,1003,
2392,Niere,die,Nieren,Niere,1003,
2393,Verlobter,der,-,-,1003,
2394,Altar,der,Altäre,Altares,1002,
2395,Ausbruch,der,Ausbrüche,Ausbruches,1002,
2396,Kratzen,das,-,Kratzens,1002,
2397,Fahne,die,Fahnen,Fahne,1001,
2398,Beleidigung,die,Beleidigungen,Beleidigung,1001,
2399,Tuch,das,-,Tuchs,1001,
2400,Blicke,die,Blicken,Blicke,1000,
2401,Nachfolger,der,Nachfolger,Nachfolgers,1000,
2402,Chauffeur,der,Chauffeure,Chauffeurs,1000,
2403,Käfer,der,Käfer,Käfers,999,
2404,Hit,der,Hits,Hits,999,
2405,Erlösung,die,Erlösungen,Erlösung,999,
2406,Küsschen,das,Küsschen,Küsschens,999,
2407,Ironie,die,Ironien,Ironie,999,
2408,Limonade,die,Limonaden,Limonade,998,
2409,Tequila,der,Tequilas,Tequila,997,
2410,Schlachtfeld,das,Schlachtfelder,Schlachtfeldes,997,
2411,Angreifer,der,Angreifer,Angreifers,997,
2412,DNS,die,-,DNS,996,
2413,Schale,die,Schalen,Schale,996,
2414,Motto,das,-,Mottos,995,
2415,BH,der,BHs,BHs,994,"EVET - iki farkli cinsiyeti var, kontrol et"
2416,Eintritt,der,Eintritte,Eintrittes,994,
2417,Kapelle,die,Kapellen,Kapelle,993,
2418,Kinn,das,Kinne,Kinnes,992,
2419,Einwohner,der,Einwohner,Einwohners,991,
2420,Körperverletzung,die,Körperverletzungen,Körperverletzung,991,
2421,Rekord,der,Rekorde,Rekordes,990,
2422,Armband,das,Armbänder,Armbandes,989,
2423,Überdosis,die,Überdosen,Überdosis,989,
2424,Department,das,Departments,Departments,988,
2425,Handschrift,die,Handschriften,Handschrift,987,
2426,Mischung,die,Mischungen,Mischung,986,
2427,Klaviermusik,die,Klaviermusiken,Klaviermusik,986,
2428,Luxus,der,-,Luxus,986,
2429,Schwung,der,Schwünge,Schwunges,985,
2430,Grippe,die,Grippen,Grippe,984,
2431,Hülle,die,Hüllen,Hülle,984,
2432,Uhrzeit,die,Uhrzeiten,Uhrzeit,983,
2433,Schaf,das,Schafe,Schafes,983,
2434,Floh,der,Flöhe,Flohs,983,
2435,Zigarre,die,Zigarren,Zigarre,983,
2436,Mexikaner,der,Mexikaner,Mexikaners,982,
2437,Einkaufszentrum,das,Einkaufszentren,Einkaufszentrums,982,
2438,Vollmond,der,Vollmonde,Vollmondes,982,
2439,Tänzerin,die,Tänzerinnen,Tänzerin,982,
2440,Gray,das,Gray,Grays,981,
2441,Umarmung,die,Umarmungen,Umarmung,981,
2442,Rohr,das,Rohre,Rohrs,980,"EVET - iki farkli cinsiyeti var, kontrol et"
2443,Spende,die,Spenden,Spende,980,
2444,Mumm,der,-,Mumms,980,
2445,Gans,die,Gänse,Gans,979,
2446,Leuchten,das,-,Leuchtens,979,
2447,Dom,der,Dome,Domes,978,
2448,Warp,der,Warpe,Warps,977,
2449,Drache,der,Drachen,Drachen,977,
2450,Geschlecht,das,Geschlechter,Geschlechts,977,
2451,Buchhalter,der,Buchhalter,Buchhalters,977,
2452,Bildung,die,Bildungen,Bildung,976,
2453,Sang,der,Sänge,Sangs,976,
2454,Hudson,der,-,Hudsons,975,
2455,Herrschaft,die,Herrschaften,Herrschaft,973,
2456,Volltreffer,der,Volltreffer,Volltreffers,973,
2457,Robinson,der,Robinsons,Robinsons,973,
2458,Distanz,die,Distanzen,Distanz,972,
2459,Empfehlung,die,Empfehlungen,Empfehlung,969,
2460,Rendezvous,das,Rendezvous,Rendezvous,969,
2461,Handgelenk,das,Handgelenke,Handgelenks,968,
2462,Literatur,die,Literaturen,Literatur,968,
2463,Zuhälter,der,Zuhälter,Zuhälters,966,
2464,Angestellte,die,-,-,965,
2465,Gestalten,das,-,Gestaltens,965,
2466,Schlachten,das,-,Schlachtens,965,
2467,Stipendium,das,Stipendien,Stipendiums,964,
2468,Hüfte,die,Hüften,Hüfte,964,
2469,Inspiration,die,Inspirationen,Inspiration,963,
2470,Wurf,der,Würfe,Wurfs,963,
2471,Ohio,der,-,Ohio,963,
2472,Maschinenraum,der,Maschinenräume,Maschinenraumes,963,
2473,Samen,der,Samen,Samens,963,
2474,Einatmen,das,-,Einatmens,962,
2475,Hinterhalt,der,Hinterhalte,Hinterhalts,962,
2476,Präsidentin,die,Präsidentinnen,Präsidentin,961,
2477,Entlassung,die,Entlassungen,Entlassung,961,
2478,Parfüm,das,Parfüms,Parfüms,961,
2479,Todesstrafe,die,Todesstrafen,Todesstrafe,960,
2480,Sultan,der,Sultane,Sultans,960,
2481,Hauch,der,Hauche,Hauchs,960,
2482,Müller,der,Müller,Müllers,958,
2483,Routine,die,Routinen,Routine,958,
2484,Umkreis,der,Umkreise,Umkreises,957,
2485,Ärmel,der,Ärmel,Ärmels,955,
2486,Yard,das,Yards,Yards,955,
2487,Popcorn,das,Popcorns,Popcorns,953,
2488,Tausch,der,Tausche,Tauschs,953,
2489,Gärtner,der,Gärtner,Gärtners,953,
2490,Jet,der,Jets,Jets,953,
2491,Schlaganfall,der,Schlaganfälle,Schlaganfalles,953,
2492,Johannes,der,Johannesse,Johannes,953,
2493,Garantie,die,Garantien,Garantie,952,
2494,Power,die,-,Power,952,
2495,Anstand,der,Anstände,Anstands,952,
2496,Vati,der,Vatis,Vatis,951,
2497,Topf,der,Töpfe,Topfs,951,
2498,Junkie,der,Junkies,Junkies,951,
2499,Sprecher,der,Sprecher,Sprechers,950,
2500,Chemie,die,Chemien,Chemie,950,
2501,Bedürfnis,das,Bedürfnisse,Bedürfnisses,950,
2502,Nähen,das,-,Nähens,950,
2503,Lori,der,Loris,Loris,948,
2504,Weite,die,Weiten,Weite,948,
2505,Baute,die,Bauten,Baute,947,
2506,Ausgabe,die,Ausgaben,Ausgabe,947,
2507,Techniker,der,Techniker,Technikers,947,
2508,Gramm,das,Gramme,Gramms,946,
2509,Laken,das,Laken,Lakens,946,
2510,Ermittler,der,Ermittler,Ermittlers,945,
2511,Kritik,die,Kritiken,Kritik,945,
2512,Lastwagen,der,-,Lastwagens,945,
